county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
MENZEL HABIB,0.7,8.7,5.8,33.6,Gabes
MATMATA,0.7,5.1,4.9,26.4,Gabes
NOUVELLE MATMATA,0.6,8.4,4.5,23.6,Gabes
MARETH,0.2,7.2,1.5,21.2,Gabes
EL HAMMA,0.2,9.8,1.4,20.3,Gabes
GHANNOUCHE,0.3,8.5,1.7,20,Gabes
METOUIA,0.2,6.4,0.5,17.9,Gabes
GABES OUEST,0.1,6.5,6,15,Gabes
GABES EL MEDINA,0.2,7.6,2.6,11.1,Gabes
GABES SUD,0.2,5.6,1.9,9.4,Gabes
