county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
BENI KHEDDACHE,0.6,10.2,4,36.9,Médnine
SIDI MAKHLOUF,0.5,7.4,6.5,33.4,Médnine
BEN GUERDENE,0.4,9.8,1.7,23.1,Médnine
MÉDENINE SUD,0.1,5.7,2.6,20.7,Médnine
MÉDENINE NORD,0.2,8.4,5.2,18.9,Médnine
DJERBA AJIM,0,7.8,4.2,16.7,Médnine
ZARZIS,0.2,9.3,2.3,15.8,Médnine
DJERBA MIDOUN,0.2,6.1,1.5,11.5,Médnine
DJERBA HOUMT SOUK,0.2,5.3,2.4,9.5,Médnine
