county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
ENNADHOUR,0.5,7.4,3.5,22.5,Zagouan
SAOUAF,0.2,9,3.4,19.5,Zagouan
BIR MCHARGA,0.2,9.4,3.6,15.8,Zagouan
ZRIBA,0.3,5.2,2.2,13,Zagouan
EL FAHS,0.2,5.4,2.5,12.5,Zagouan
ZAGHOUAN,0.3,7.4,3.7,7.2,Zagouan
