county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
FERNANA,1.1,7.7,3.8,36.9,Jandouba
AIN DRAHAM,0.4,8.3,4.4,27.2,Jandouba
GHARDIMAOU,0.8,10.6,5.1,24.8,Jandouba
BALTA BOUAOUENE,0.6,5.4,3.3,23.1,Jandouba
OUED MLIZ,0.7,9.9,4.8,21,Jandouba
JENDOUBA NORD,0.3,10.6,5,19.6,Jandouba
TABARKA,0.2,6.5,3.2,16.7,Jandouba
BOU SALEM,0.3,8.1,3.4,16.6,Jandouba
JENDOUBA SUD,0.3,7.7,4.2,10.7,Jandouba
