county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
ROUHIA,1.2,7.3,2.7,40.7
KESRA,0.4,5.1,4.5,32.2
MAKTHAR,0.7,9.1,3.3,26.5
AROUSSA,0.8,10.3,4.9,25.2
GAAFOUR,0.3,7.2,4.7,24.4
BARGOU,0,5.9,2.8,24.4
BOUROUIS,0.8,8.7,3.1,21.8
BOUARADA,0.2,5.1,2.9,21.8
EL KRIB,0.2,8,5.4,20
SILIANA SUD,0.3,4.2,2.3,19.9
SILIANA NORD,0.1,5.2,2.4,16.8
