county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
KALAAT EL ANDALOUS,0.4,8.3,3.8,12.5,Ariana
ETTADHAMEN,0.1,8.2,3.5,12.4,Ariana
SIDI THABET,0.3,6.4,2.8,9.1,Ariana
MNIHLA,0.1,8.9,3.9,8.8,Ariana
RAOUED,0.1,5.9,2.6,6.9,Ariana
SOUKRA,0.2,7.7,3,4.8,Ariana
ARIANA Ville,0.1,3.9,2.6,1.3,Ariana
