county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
OUESLATIA,0.6,9.1,3.3,40.9,Kairouan
ALA,0.8,7.3,4,38.3,Kairouan
HAJEB EL AYOUN,1.3,11.4,4.3,36.6,Kairouan
SBIKHA,1.3,8.1,4.1,35.1,Kairouan
SIDI ALI BEN NASRALLAH,0.8,6.9,2.7,35.1,Kairouan
SIDI AMOR BOU HAJLA,1.5,6.9,2.4,32.7,Kairouan
HAFFOUZ,0.5,6.7,2.1,31.4,Kairouan
CHERARDA,1,6.3,2.9,28,Kairouan
CHEBIKA,0.9,7.5,3.4,24.2,Kairouan
KAIROUAN SUD,1,7.4,2.2,23,Kairouan
KAIROUAN NORD,0.4,5,2.3,20.8,Kairouan
