county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
HAZOUA,0.5,9.2,4.1,22.6,Tozeur
TAMAGHZA,0,7.2,3.8,20.5,Tozeur
DEGACHE,0.6,6.2,1.3,17.4,Tozeur
NEFTA,0.2,8.8,1.6,17.3,Tozeur
TOZEUR,0.2,7.1,1.8,10.3,Tozeur
