county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
DOUZ SUD,0.1,2.5,0.8,25.9,Kebili
FAOUAR,0.1,10.9,7,25.2,Kebili
SOUK LAHAD,0.1,1.6,2.7,21.7,Kebili
DOUZ NORD,0.2,1.5,4.2,20.4,Kebili
KEBILI SUD,0.3,4.7,1.4,15.8,Kebili
KEBILI NORD,0.2,1.8,1.6,12.3,Kebili
