county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty,state
TEBOURBA,0.2,8.8,4.5,15.2,Manouba
BATTANE,0.2,4.1,1.8,14.5,Manouba
BORJ EL AMRI,0.2,10.7,4.4,12.1,Manouba
JEDAIDA,0.2,5.8,2.4,11.9,Manouba
DAOUAR HICHER,0.1,7,3.3,10.8,Manouba
OUED ELLIL,0.2,5.5,2.5,8.2,Manouba
MORNAGUIA,0.2,6,2.9,7.8,Manouba
MANOUBA,0.1,8.2,4.7,3.8,Manouba
